hscode,description,section
01,Animals; live,I
0101,"Horses, asses, mules and hinnies; live",I
010121,"Horses; live, pure-bred breeding animals",I
010129,"Horses; live, other than pure-bred breeding animals",I
010130,Asses; live,I
010190,Mules and hinnies; live,I
0102,Bovine animals; live,I
010221,"Cattle; live, pure-bred breeding animals",I
010229,"Cattle; live, other than pure-bred breeding animals",I
010231,"Buffalo; live, pure-bred breeding animals",I
010239,"Buffalo; live, other than pure-bred breeding animals",I
010290,"Bovine animals; live, other than cattle and buffalo",I
0103,Swine; live,I
010310,"Swine; live, pure-bred breeding animals",I
010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg",I
010392,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more",I
0104,Sheep and goats; live,I
010410,Sheep; live,I
010420,Goats; live,I
0105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",I
010511,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g",I
010512,"Poultry; live, turkeys, weighing not more than 185g",I
010513,"Poultry; live, ducks, weighing not more than 185g",I
010514,"Poultry; live, geese, weighing not more than 185g",I
010515,"Poultry; live, guinea fowls, weighing not more than 185g",I
010594,"Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g",I
010599,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g",I
0106,"Animals; live, n.e.c. in chapter 01",I
010611,"Mammals; live, primates",I
010612,"Mammals; live, whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",I
010613,"Mammals; live, camels and other camelids (Camelidae)",I
010614,"Mammals; live, rabbits and hares",I
010619,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",I
010620,Reptiles; live (including snakes and turtles),I
010631,"Birds; live, birds of prey",I
010632,"Birds; live, Psittaciformes",I
010633,"Birds; live, ostriches; emus (Dromaius novaehollandiae)",I
010639,"Birds; live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)",I
010641,"Insects; live, bees",I
010649,"Insects; live, other than bees",I
010690,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects",I
02,Meat and edible meat offal,I
0201,Meat of bovine animals; fresh or chilled,I
020110,"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled",I
020120,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",I
020130,"Meat; of bovine animals, boneless cuts, fresh or chilled",I
0202,Meat of bovine animals; frozen,I
020210,"Meat; of bovine animals, carcasses and half-carcasses, frozen",I
020220,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen",I
020230,"Meat; of bovine animals, boneless cuts, frozen",I
0203,"Meat of swine; fresh, chilled or frozen",I
020311,"Meat; of swine, carcasses and half-carcasses, fresh or chilled",I
020312,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled",I
020319,"Meat; of swine, n.e.c. in item no. 0203.1, fresh or chilled",I
020321,"Meat; of swine, carcasses and half-carcasses, frozen",I
020322,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, frozen",I
020329,"Meat; of swine, n.e.c. in item no. 0203.2, frozen",I
0204,"Meat of sheep or goats; fresh, chilled or frozen",I
020410,"Meat; of sheep, lamb carcasses and half-carcasses, fresh or chilled",I
